curie	label	envo_native	obsolete	legacy_pv	abp	env_sys	biome	terrestrial_biome	aquatic_biome	env_mat	nmdc_scoped_count	gold_scoped_count	ncbi_scoped_count
FOODON:03400143	fruit or fruit product (us cfr)	False	False	False	False	False	False	False	False	True			
ENVO:00002166	obsolete sausage	True	True	False	False	False	False	False	False	False			
FOODON:03400680	015  pulses (vd) (ccpr)	False	False	False	False	False	False	False	False	True			
ENVO:00002120	acidic hot spring	True	False	False	True	False	False	False	False	False			2.0
FOODON:00001190	rye food product	False	False	False	False	False	False	False	False	True			
ENVO:00002119	alkaline hot spring	True	False	False	True	False	False	False	False	False			2.0
ENVO:00003965	anaerobic digester sludge	True	False	False	False	False	False	False	False	True			
ENVO:06105280	silty clay	True	False	False	False	False	False	False	False	True			
FOODON:00001247	mate food product	False	False	False	False	False	False	False	False	True			
FOODON:00001290	salad dressing	False	False	False	False	False	False	False	False	True			
ENVO:06105101	plastic	True	False	False	False	False	False	False	False	True			4.0
FOODON:00001061	bacon food product	False	False	False	False	False	False	False	False	True			
ENVO:02000035	oronasal secretion material	True	False	False	False	False	False	False	False	True			
FOODON:00001200	cowpea (pulse) food product	False	False	False	False	False	False	False	False	True			
FOODON:00001040	chicken meat food product	False	False	False	False	False	False	False	False	True			
ENVO:06105272	loamy sand	True	False	False	False	False	False	False	False	True			
PATO:0000689	continuous	False	False	False	False	False	False	False	False	False			22.0
ENVO:00002232	andosol	True	False	False	True	False	False	False	False	True			
FOODON:00001261	vegetable food product	False	False	False	False	False	False	False	False	True			
ENVO:01000751	bedrock	True	False	False	False	False	False	False	False	True			
PATO:0001456	anaerobic	False	False	False	False	False	False	False	False	False			4.0
FOODON:00001285	goose meat food product	False	False	False	False	False	False	False	False	True			
ENVO:03605005	epixylon	True	False	False	False	False	False	False	False	True			
ENVO:00002068		False	False	False	False	False	False	False	False	False			1.0
PATO:0001759	granular	False	False	False	False	False	False	False	False	False			4.0
ENVO:01000814	solid environmental material	True	False	False	False	False	False	False	False	True			
CHEBI:26833	sulfur atom	False	False	False	False	False	False	False	False	False			6.0
FOODON:00001665	broad bean food product	False	False	False	False	False	False	False	False	True			
ENVO:00005750	grassland soil	True	False	False	True	False	False	False	False	True			8.0
FOODON:00001919	grain based vinegar food product	False	False	False	False	False	False	False	False	True			
ENVO:2000010	bitumous coal	True	False	False	False	False	False	False	False	True			
FOODON:00001262	botanical fruit food product	False	False	False	False	False	False	False	False	True			
ENVO:03501216	stainless steel	True	False	False	False	False	False	False	False	False			31.0
FOODON:00001284	duck meat food product	False	False	False	False	False	False	False	False	True			
ENVO:01000701	volcanic ash	True	False	False	False	False	False	False	False	True			
FOODON:00001295	pecorino cheese	False	False	False	False	False	False	False	False	True			
ENVO:00002982	clay	True	False	False	False	False	False	False	False	True			5.0
ENVO:01000110	hydrogenous sediment	True	False	False	False	False	False	False	False	True			
ENVO:01001669	mariculture process	True	False	False	False	False	False	False	False	False			23.0
ENVO:03000071	first year ice	True	False	False	False	False	False	False	False	True			
ENVO:04000012	particulate organic matter	True	False	False	False	False	False	False	False	True			
FOODON:00001001	orange juice (liquid)	False	False	False	False	False	False	False	False	True			
FOODON:00001257	milk or milk based food product	False	False	False	False	False	False	False	False	True			
ENVO:00002162	obsolete fermenting sugar cane juice	True	True	False	False	False	False	False	False	False			
ENVO:03510057	permanent hair dye	True	False	False	False	False	False	False	False	True			
FOODON:03400960	50220000 - cereal/grain/pulse products (gs1 gpc)	False	False	False	False	False	False	False	False	True			
ENVO:00005778	tropical soil	True	False	False	True	False	False	False	False	True			
ENVO:02000102	fibrous glass dust	True	False	False	False	False	False	False	False	True			
ENVO:03510029	primer (paint)	True	False	False	False	False	False	False	False	True			
ENVO:01000016	silt	True	False	False	False	False	False	False	False	True			73.0
ENVO:01001235	planktonic kerogen	True	False	False	False	False	False	False	False	True			
ENVO:03510032	acrylic paint	True	False	False	False	False	False	False	False	True			
ENVO:03600082	crustal fluid	True	False	False	False	False	False	False	False	True			
ENVO:02000109	dust from plant parts	True	False	False	False	False	False	False	False	True			
FOODON:00001003	fermented agave juice	False	False	False	False	False	False	False	False	True			
FOODON:00001696	cattle cured meat food product	False	False	False	False	False	False	False	False	True			
ENVO:00002127	stream sediment	True	False	False	False	False	False	False	False	True			1339.0
ENVO:01000154	carbon dioxide-reducing sediment	True	False	False	False	False	False	False	False	True			
FOODON:00001099	apple beverage	False	False	False	False	False	False	False	False	True			
ENVO:00002149	sea water	True	False	False	False	False	False	False	False	True			367.0
ENVO:00002005	air	True	False	False	False	False	False	False	False	True			
ENVO:03600042	marine lake water	True	False	False	False	False	False	False	False	True			
FOODON:00002265	soybean seed (field) food product	False	False	False	False	False	False	False	False	True			
FOODON:00001283	poultry food product	False	False	False	False	False	False	False	False	True			
ENVO:00002194	oil field production water	True	False	False	False	False	False	False	False	True			
ENVO:00002258	loam	True	False	False	True	False	False	False	False	True			2.0
ENVO:00003030	silage	True	False	False	False	False	False	False	False	True			
ENVO:00003096	tap water	True	False	False	False	False	False	False	False	True			
ENVO:01000024	marine benthic biome	True	False	False	True	True	True	False	True	False			34.0
