serial_number	content	sample_count	content_list
389	waterborne particulate matter	6	['waterborne particulate matter']
390	oceanic seawater	6	['oceanic seawater']
391	fracture fluid	6	['fracture fluid']
392	Cardboard	6	['Cardboard']
393	Formation water	6	['Formation water']
394	sewage	6	['sewage']
395	Ultra pure water	6	['Ultra pure water']
396	ENVO:01000048	6	['ENVO:01000048']
397	ENVO:00000126	6	['ENVO:00000126']
398	hydrothermal fluid [ENVO_01000134]	6	['hydrothermal fluid [ENVO_01000134]']
399	Trench sediment	6	['Trench sediment']
400	riverine freshwaterwater	6	['riverine freshwaterwater']
401	subsurface fluids	6	['subsurface fluids']
402	genomic DNA	6	['genomic DNA']
403	vent fluid	6	['vent fluid']
404	biofilm material [ENVO:01000156]	5	['biofilm material [ENVO:01000156]']
405	Rain water	5	['Rain water']
406	production water	5	['production water']
407	Sea ice	5	['Sea ice']
408	sea water[ENVO:00002149]	5	['sea water[ENVO:00002149]']
409	hot spring	5	['hot spring']
410	plankton	5	['plankton']
411	Basalt	5	['Basalt']
412	hydrothermal vent chimney	5	['hydrothermal vent chimney']
413	Sewage-effluent	5	['Sewage-effluent']
414	season [ENVO:03000096]	5	['season [ENVO:03000096]']
415	Snowpack	4	['Snowpack']
416	Aug hypo water	4	['Aug hypo water']
417	estuarine water [ENVO:01000310]	4	['estuarine water [ENVO:01000310]']
418	filtered surface water	4	['filtered surface water']
419	Geothermal water	4	['Geothermal water']
420	May hypo water	4	['May hypo water']
421	drinking water biofilters	4	['drinking water biofilters']
422	ENVO:0000207	4	['ENVO:0000207']
423	freshewater	4	['freshewater']
424	Mar hypo water	4	['Mar hypo water']
425	Apr epi water	4	['Apr epi water']
426	Jun epi water	4	['Jun epi water']
427	Jul epi water	4	['Jul epi water']
428	genomic DNA isolated from cells filtered from seawater	4	['genomic DNA isolated from cells filtered from seawater']
429	Water-colum	4	['Water-colum']
430	sea water under sea ice	4	['sea water under sea ice']
431	DNA isolated from cells filtered from seawater	4	['DNA isolated from cells filtered from seawater']
432	marine habitat	4	['marine habitat']
433	rock [ENVO:00001995]	4	['rock [ENVO:00001995]']
434	Effluent water	4	['Effluent water']
435	Surfacewater	4	['Surfacewater']
436	May epi water	4	['May epi water']
437	Aug epi water	4	['Aug epi water']
438	Oct epi water	4	['Oct epi water']
439	milliq water	4	['milliq water']
440	pristine seawater	4	['pristine seawater']
441	liquid	4	['liquid']
442	Mar epi water	4	['Mar epi water']
443	Jul hypo water	4	['Jul hypo water']
444	Nov epi water	4	['Nov epi water']
445	Nov hypo water	4	['Nov hypo water']
446	strict anaerobic seewater in a bluehole	4	['strict anaerobic seewater in a bluehole']
447	brass, plastic	4	['brass, plastic']
448	seawater_amphipod	4	['seawater_amphipod']
449	melt pond	4	['melt pond']
450	Apr hypo water	4	['Apr hypo water']
451	Sep epi water	4	['Sep epi water']
452	Sep hypo water	4	['Sep hypo water']
453	Oct hypo water	4	['Oct hypo water']
454	acidic water [ENVO_01000358]	4	['acidic water [ENVO_01000358]']
455	anoxic water	4	['anoxic water']
456	ENVO:01001315	4	['ENVO:01001315']
457	Marine mud	4	['Marine mud']
458	offshore platform [ENVO_00000099]	4	['offshore platform [ENVO_00000099]']
459	bodily fluid	4	['bodily fluid']
460	Feb hypo water	4	['Feb hypo water']
461	Jun hypo water	4	['Jun hypo water']
462	sea sediment	4	['sea sediment']
463	Biofilm biome	4	['Biofilm biome']
464	manure	3	['manure']
465	Oil polluted marine water	3	['Oil polluted marine water']
466	sewage [ENVO:00002018]|wastewater treatment plant [ENVO:00002043]	3	['sewage [ENVO:00002018]', 'wastewater treatment plant [ENVO:00002043]']
467	BG11	3	['BG11']
468	surface	3	['surface']
469	downstream of a estuary	3	['downstream of a estuary']
470	Ground Water	3	['Ground Water']
471	lake water column	3	['lake water column']
472	Estuarine water	3	['Estuarine water']
473	small river biome [ENVO_00000890 ] : Stormwater [ENVO_01001267] : Sewage [ENVO_00002018]	3	['small river biome [ENVO_00000890 ] : Stormwater [ENVO_01001267] : Sewage [ENVO_00002018]']
474	cruise fresh water	3	['cruise fresh water']
475	Ice and snow	3	['Ice and snow']
476	muddy water	3	['muddy water']
477	Coastal sea water [ENVO:00002150]	3	['Coastal sea water [ENVO:00002150]']
478	Upper layer of artificial reef|reinforced concrete	3	['Upper layer of artificial reef', 'reinforced concrete']
479	Feb epi water	3	['Feb epi water']
480	saline water | hypoxic water	3	['saline water ', ' hypoxic water']
481	saline lake water	3	['saline lake water']
482	meltwater	3	['meltwater']
483	granule	3	['granule']
484	springwater	3	['springwater']
485	Strictly anaerobic seawater	3	['Strictly anaerobic seawater']
