curie	label	envo_native	obsolete	no_comparison_enum	ancestors_in_enum_count	descendants_in_enum_count	abp	env_sys	biome	terrestrial_biome	aquatic_biome	env_mat	goldterms_mappings	nmdc_scoped_count	gold_hybrid_count	ncbi_scoped_count
ENVO:0010163	dry river valley	True	False	False	0	0	True	False	False	False	False	False	False			48.0
ENVO:01000150	marine subtidal rocky reef	True	False	False	0	0	True	False	False	False	False	False	False			
ENVO:00002023	obsolete high pressure habitat	True	True	False	0	0	False	False	False	False	False	False	False			17.0
ENVO:01001405	laboratory environment	True	False	False	0	0	False	True	False	False	False	False	False			457.0
ENVO:2017081510		False	False	False	0	0	False	False	False	False	False	False	False			
ENVO:02000093	uranium mine	True	False	False	0	0	True	False	False	False	False	False	False			5.0
ENVO:01000545	ionosphere	True	False	False	0	0	False	False	False	False	False	False	False			
ENVO:01000710	flood	True	False	False	0	0	True	False	False	False	False	False	False			1.0
ENVO:2000004	algal bloom	True	False	False	0	0	True	False	False	False	False	False	False			1106.0
ENVO:06105023	biofouling	True	False	False	0	0	False	False	False	False	False	False	False			1.0
CHEBI:33232	application	False	False	False	0	0	False	False	False	False	False	False	False			2.0
