subject	predicate	content
GOLDTERMS:5740	mixs:anatomical_site	PO:0025623
GOLDTERMS:5740	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:5740	mixs:mixs_extension	mixs:PlantAssociated
GOLDTERMS:5740	rdfs:label	Host-associated > Plants > Phyllosphere > Cob
GOLDTERMS:5752	mixs:anatomical_site	PO:0004518
GOLDTERMS:5752	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:5752	mixs:mixs_extension	mixs:PlantAssociated
GOLDTERMS:5752	rdfs:label	Host-associated > Plants > Phyllosphere > Caulosphere > Bark
GOLDTERMS:5782	mixs:anatomical_site	PO:0004518
GOLDTERMS:5782	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:5782	mixs:mixs_extension	mixs:PlantAssociated
GOLDTERMS:5782	rdfs:label	Host-associated > Plants > Tissue > Bark
GOLDTERMS:5784	mixs:anatomical_site	PO:0009005
GOLDTERMS:5784	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:5784	mixs:mixs_extension	mixs:PlantAssociated
GOLDTERMS:5784	mixs:other	ENVO:01001181
GOLDTERMS:5784	rdfs:label	Host-associated > Plants > Roots > Rhizoplane
GOLDTERMS:5786	mixs:anatomical_site	PO:0025626
GOLDTERMS:5786	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:5786	mixs:mixs_extension	mixs:PlantAssociated
GOLDTERMS:5786	rdfs:label	Host-associated > Plants > Roots > Galls
GOLDTERMS:5793	mixs:anatomical_site	PO:0025522
GOLDTERMS:5793	mixs:env_medium	ENVO:00001998
GOLDTERMS:5793	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:5793	mixs:mixs_extension	mixs:Soil
GOLDTERMS:5793	rdfs:label	Host-associated > Plants > Rhizome > Stem tuber > Soil
GOLDTERMS:5796	mixs:anatomical_site	PO:0030078
GOLDTERMS:5796	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:5796	mixs:mixs_extension	mixs:PlantAssociated
GOLDTERMS:5796	rdfs:label	Host-associated > Plants > Rhizoid
GOLDTERMS:5812	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:5812	mixs:mixs_extension	mixs:PlantAssociated
GOLDTERMS:5812	mixs:other	ENVO:01000909
GOLDTERMS:5812	rdfs:label	Host-associated > Plants > Biocrust
GOLDTERMS:5823	mixs:env_broad	ENVO:00000446
GOLDTERMS:5823	mixs:env_medium	ENVO:00005802
GOLDTERMS:5823	mixs:mixs_extension	mixs:Soil
GOLDTERMS:5823	mixs:other	ENVO:03600045
GOLDTERMS:5823	rdfs:label	Environmental > Terrestrial > Soil > Bulk soil > Plant pot
GOLDTERMS:5826	mixs:anatomical_site	PO:0009046
GOLDTERMS:5826	mixs:env_medium	FOODON:03315553
GOLDTERMS:5826	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:5826	mixs:mixs_extension	mixs:PlantAssociated
GOLDTERMS:5826	rdfs:label	Host-associated > Plants > Phyllosphere > Anthosphere > Nectar
GOLDVOCAB:Drinking-water-treatment-plant	rdfs:label	Drinking water treatment plant
GOLDVOCAB:Enriched-plant-cells	rdfs:label	Enriched plant cells
GOLDVOCAB:Plant-callus	rdfs:label	Plant callus
GOLDVOCAB:Plant-growth-chamber	rdfs:label	Plant growth chamber
GOLDVOCAB:Plant-litter	rdfs:label	Plant litter
GOLDVOCAB:Plant-pot	rdfs:label	Plant pot
GOLDVOCAB:Plants	rdfs:label	Plants
GOLDVOCAB:Sewage-treatment-plant	rdfs:label	Sewage treatment plant
GOLDVOCAB:Soil-_28non-planted_29	rdfs:label	Soil (non-planted)
GOLDVOCAB:Water-treatment-plant	rdfs:label	Water treatment plant
