curie	label	envo_native	obsolete	EnvMediumSoilEnum_10_7	ancestors_in_enum_count	descendants_in_enum_count	nlcd_class	abp	env_sys	biome	terrestrial_biome	aquatic_biome	env_mat	soil	liquid water	water ice	snow	mass_of_environmental_material	human_construction	building	building_part	goldterms_mappings	nmdc_biosamples_count	ncbi_bioprojects_count
ENVO:01000851	methane clathrate	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:01001608	kerosene oil	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:01001203	alluvial sediment	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:03000075	shuga	True	False	False	0	0	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False		
ENVO:00003914	chalk soil	True	False	False	0	0	False	True	False	False	False	False	True	True	False	False	False	False	False	False	False	False		
ENVO:01001282	silica dust	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:01001502	visible spectrum radiation from a manufactured product	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:00002308		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
FOODON:00002157	plant sweetener	False	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:02000123	paint	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:00002272	waste treatment plant	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	True	True	False	False		6.0
ENVO:01000185	montane desert biome	True	False	False	0	0	False	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:01000792	mass gaseous flow	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:00000153	headwater	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:00002238	durisol	True	False	True	0	0	False	True	False	False	False	False	True	True	False	False	False	False	False	False	False	False		1.0
FOODON:00001055	sea water fish food product	False	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
FOODON:03400361	agency food product type	False	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
FOODON:00001294	goat milk cheese (unpasteurized)	False	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:01001463	UNEP-WCMC class 3 mountain	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:00000415	raised beach	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:01001646	amorphous solid	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:01001649	heavy fraction material	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:00000327	speleothem	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:00002063	oil seep	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:00000464	artificial harbor	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False		1.0
