ENVO:03000004	glacial ice
CHEBI:33627	monoatomic aluminium
ENVO:00000439	dell
ENVO:03501143	discharge unit facility
CHEBI:26820	sulfates
ENVO:00000223	continental shelf
CHEBI:51688	enal
ENVO:00000458	valley glacier
FOODON:00001194	dry pea food product
ENVO:00000116	vineyard
ENVO:02000134	thermal nuclear reactor
ENVO:01001018	hypereutrophic water
ENVO:03000068	nilas
ENVO:03510064	emissions from petroleum combustion
ENVO:00000416	coastal dune
CHEBI:41609	carbonate
NCBITaxon:4447	Liliopsida
ENVO:03501304	cellophane
UBERON:0001775	ciliary body
CHEBI:37217	titanium molecular entity
ENVO:00002236	cryosol
FOODON:00002778	jack bean (whole)
ENVO:01000806	nebula
ENVO:01001898	acidic spring
CHEBI:51132	nitroarene
CHEBI:25388	monohydroxybenzoate
ENVO:01001781	part of a landmass
ENVO:01000775	mesotrophic lake
ENVO:00000398	volcanic cone
CHEBI:35479	alkali metal salt
ENVO:01001546	iceberg
UBERON:0035037	jaw epithelium
CHEBI:26191	polyol
ENVO:01000783	public utility line
UBERON:0035804	future mouth
CHEBI:33620	aluminium molecular entity
CHEBI:17087	ketone
ENVO:03510070	toxic waste
ENVO:01000048	ocean biome
ENVO:00000260	prairie
ENVO:03501203	polling booth
NCBITaxon:7010	Schistocerca gregaria
CHEBI:25414	monoatomic monocation
