serial_number	content	sample_count	content_list	content_count	envo_count	extracted_label	extracted_curie	real_label	longest_annotation_curie	longest_annotation_label	curie_list	unique_curie_count
4172	Soil sediment	1	Soil sediment	1	0	Soil sediment			ENVO:00002007	sediment	['ENVO:00002007']	1
4173	Rotation2	1	Rotation2	1	0	Rotation2					[]	0
4174	Rotation21	1	Rotation21	1	0	Rotation21					[]	0
4175	Rotation26	1	Rotation26	1	0	Rotation26					[]	0
4176	Rotation27	1	Rotation27	1	0	Rotation27					[]	0
4177	Rotation29	1	Rotation29	1	0	Rotation29					[]	0
4178	eastern_hemlock_forest_S3	1	eastern_hemlock_forest_S3	1	0	eastern_hemlock_forest_S3			ENVO:00000111	forested area	['ENVO:00000111']	1
4179	eastern_hemlock_forest_S4	1	eastern_hemlock_forest_S4	1	0	eastern_hemlock_forest_S4			ENVO:00000111	forested area	['ENVO:00000111']	1
4180	eastern_hemlock_forest_S11	1	eastern_hemlock_forest_S11	1	0	eastern_hemlock_forest_S11			ENVO:00000111	forested area	['ENVO:00000111']	1
4181	eastern_hemlock_forest_S12	1	eastern_hemlock_forest_S12	1	0	eastern_hemlock_forest_S12			ENVO:00000111	forested area	['ENVO:00000111']	1
4182	eastern_hemlock_forest_S35	1	eastern_hemlock_forest_S35	1	0	eastern_hemlock_forest_S35			ENVO:00000111	forested area	['ENVO:00000111']	1
4183	eastern_hemlock_forest_S36	1	eastern_hemlock_forest_S36	1	0	eastern_hemlock_forest_S36			ENVO:00000111	forested area	['ENVO:00000111']	1
4184	eastern_hemlock_forest_S37	1	eastern_hemlock_forest_S37	1	0	eastern_hemlock_forest_S37			ENVO:00000111	forested area	['ENVO:00000111']	1
4185	eastern_hemlock_forest_S39	1	eastern_hemlock_forest_S39	1	0	eastern_hemlock_forest_S39			ENVO:00000111	forested area	['ENVO:00000111']	1
4186	eastern_hemlock_forest_S44	1	eastern_hemlock_forest_S44	1	0	eastern_hemlock_forest_S44			ENVO:00000111	forested area	['ENVO:00000111']	1
4187	eastern_hemlock_forest_S62	1	eastern_hemlock_forest_S62	1	0	eastern_hemlock_forest_S62			ENVO:00000111	forested area	['ENVO:00000111']	1
4188	eastern_hemlock_forest_S87	1	eastern_hemlock_forest_S87	1	0	eastern_hemlock_forest_S87			ENVO:00000111	forested area	['ENVO:00000111']	1
4189	soil and bioreactor	1	soil and bioreactor	1	0	soil and bioreactor			ENVO:00002123	bioreactor	['ENVO:00002123']	1
4190	B10NL072	1	B10NL072	1	0	B10NL072			CHEBI:25555	nitrogen atom	['CHEBI:25555']	1
4191	B10FH066	1	B10FH066	1	0	B10FH066					[]	0
4192	rice rhizosphere	1	rice rhizosphere	1	0	rice rhizosphere			ENVO:00005801	rhizosphere	['ENVO:00005801']	1
4193	XH2	1	XH2	1	0	XH2					[]	0
4194	XH5	1	XH5	1	0	XH5					[]	0
4195	SJ1	1	SJ1	1	0	SJ1			CHEBI:26833	sulfur atom	['CHEBI:26833']	1
4196	SJ6	1	SJ6	1	0	SJ6			CHEBI:26833	sulfur atom	['CHEBI:26833']	1
4197	Subtropical zone	1	Subtropical zone	1	0	Subtropical zone			ENVO:01000205	subtropical	['ENVO:01000205']	1
4198	sludge[ENVO:00002058]	1	sludge[ENVO:00002058]	1	1	sludge	ENVO:00002058	secondary sludge	ENVO:00002044	sludge	['ENVO:00002044', 'ENVO:00002058']	2
4199	sludge[ENVO:00002060]	1	sludge[ENVO:00002060]	1	1	sludge	ENVO:00002060	oil sludge	ENVO:00002044	sludge	['ENVO:00002044', 'ENVO:00002060']	2
4200	sludge[ENVO:00002063]	1	sludge[ENVO:00002063]	1	1	sludge	ENVO:00002063	oil seep	ENVO:00002044	sludge	['ENVO:00002063', 'ENVO:00002044']	2
4201	sam5	1	sam5	1	0	sam5			CHEBI:26833	sulfur atom	['CHEBI:26833']	1
4202	HB8	1	HB8	1	0	HB8					[]	0
4203	HB21	1	HB21	1	0	HB21					[]	0
4204	Sub-humid tropical	1	Sub-humid tropical	1	0	Sub-humid tropical			ENVO:01000204	tropical	['ENVO:01000204']	1
4205	Temperate coniferous forest	1	Temperate coniferous forest	1	0	Temperate coniferous forest			ENVO:00000109	woodland area	['ENVO:00000109']	1
