sub	mixs:env_broad	mixs:env_local	mixs:env_medium	mixs:host_taxon	mixs:mixs_extension	mixs:other	rdfs:comment	rdfs:label	skos:closeMatch	skos:exactMatch	env_broad_label	env_local_label	env_medium_label
GOLDTERMS:5804	ENVO:00000232	ENVO:00000446	ENVO:00005774		mixs:Soil		env_broad: fen; env_local: terrestrial biome; env_medium: peat soil; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Peat > Fen			fen	terrestrial biome	peat soil
GOLDTERMS:5808	ENVO:01000254	ENVO:00000446	ENVO:00000134		mixs:Soil		env_broad: environmental system; env_local: terrestrial biome; env_medium: permafrost; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Peat > Permafrost			environmental system	terrestrial biome	permafrost
GOLDTERMS:5809	ENVO:01001209	ENVO:00000446	ENVO:00005774		mixs:Soil		env_broad: wetland ecosystem; env_local: terrestrial biome; env_medium: peat soil; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Peat > Mire	ENVO:01001209, ENVO:00000044		wetland ecosystem	terrestrial biome	peat soil
GOLDTERMS:5816	ENVO:01000254	ENVO:00000489	ENVO:00005774		mixs:Soil		env_broad: environmental system; env_local: palsa; env_medium: peat soil; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Peat > Palsa		ENVO:00000489	environmental system	palsa	peat soil
GOLDTERMS:5817	ENVO:01000254	ENVO:01001243	ENVO:00005774		mixs:Soil		env_broad: environmental system; env_local: forest ecosystem; env_medium: peat soil; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Peat > Forest	ENVO:00000111		environmental system	forest ecosystem	peat soil
GOLDTERMS:5818	ENVO:01000254	ENVO:03000085	ENVO:00005774		mixs:Soil		env_broad: environmental system; env_local: thermokarst; env_medium: peat soil; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Peat > Thermokarst pond			environmental system	thermokarst	peat soil
GOLDTERMS:5820	ENVO:01000254	ENVO:00000446	ENVO:00001998		mixs:Soil	ENVO:00000328	env_broad: environmental system; env_local: terrestrial biome; env_medium: soil; mixs_extension: MIXS:Soil; other: vadose zone; partial	Environmental > Terrestrial > Soil > Vadose zone		ENVO:00000328	environmental system	terrestrial biome	soil
GOLDTERMS:5821	ENVO:01000254	ENVO:00000446	ENVO:03600016		mixs:Soil	ENVO:00000328	env_broad: environmental system; env_local: terrestrial biome; env_medium: saprolite; mixs_extension: MIXS:Soil; other: vadose zone; partial	Environmental > Terrestrial > Soil > Vadose zone > Saprolite		ENVO:03600016	environmental system	terrestrial biome	saprolite
GOLDTERMS:5822	ENVO:01000254	ENVO:00000446	ENVO:00001998		mixs:Soil	ENVO:03600018	env_broad: environmental system; env_local: terrestrial biome; env_medium: soil; mixs_extension: MIXS:Soil; other: organic horizon; partial	Environmental > Terrestrial > Soil > Organic layer		ENVO:03600018	environmental system	terrestrial biome	soil
GOLDTERMS:5823	ENVO:01000254	ENVO:00000446	ENVO:00005802		mixs:Soil	ENVO:03600045	env_broad: environmental system; env_local: terrestrial biome; env_medium: bulk soil; mixs_extension: MIXS:Soil; other: plant pot; partial	Environmental > Terrestrial > Soil > Bulk soil > Plant pot	ENVO:03600045		environmental system	terrestrial biome	bulk soil
GOLDTERMS:Environmental-Terrestrial-Soil-Arable	ENVO:01000254	ENVO:01001177	ENVO:00005742		mixs:Soil		env_broad: environmental system; env_local: arable land; env_medium: arable soil; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Arable		ENVO:00005742	environmental system	arable land	arable soil
GOLDTERMS:Environmental-Terrestrial-Soil-Biochar	ENVO:01000254	ENVO:00000446	ENVO:2000007		mixs:Soil		env_broad: environmental system; env_local: terrestrial biome; env_medium: biochar; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Biochar			environmental system	terrestrial biome	biochar
GOLDTERMS:Environmental-Terrestrial-Soil-Mineral-horizon	ENVO:01000254	ENVO:00000446	ENVO:00001998		mixs:Soil	ENVO:03600011	env_broad: environmental system; env_local: terrestrial biome; env_medium: soil; mixs_extension: MIXS:Soil; other: mineral horizon; partial	Environmental > Terrestrial > Soil > Mineral horizon		ENVO:03600011	environmental system	terrestrial biome	soil
GOLDTERMS:Environmental-Terrestrial-Soil-Nature-reserve	ENVO:01000254	ENVO:00000446	ENVO:00001998		mixs:Soil	ENVO:00000363	env_broad: environmental system; env_local: terrestrial biome; env_medium: soil; mixs_extension: MIXS:Soil; other: area designated as a nature reserve; partial	Environmental > Terrestrial > Soil > Nature reserve		ENVO:00000363	environmental system	terrestrial biome	soil
GOLDTERMS:Environmental-Terrestrial-Soil-Pasture	ENVO:01000254	ENVO:00000266	ENVO:00005773		mixs:Soil		env_broad: environmental system; env_local: pasture; env_medium: pasture soil; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Pasture		ENVO:00005773	environmental system	pasture	pasture soil
GOLDTERMS:Environmental-Terrestrial-Soil-Ranch	ENVO:01000254	ENVO:01001207	ENVO:00001998		mixs:Soil		env_broad: environmental system; env_local: ranch; env_medium: soil; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Ranch	ENVO:01001207		environmental system	ranch	soil
GOLDTERMS:Environmental-Terrestrial-Soil-Unclassified	ENVO:01000254	ENVO:00000446	ENVO:00001998	NCBITaxon:12908	mixs:Soil		env_broad: environmental system; env_local: terrestrial biome; env_medium: soil; host_taxon: unclassified sequences; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Unclassified			environmental system	terrestrial biome	soil
